column_name,dtype,feature_group,modeling_role,meaning
temp_mean_c_source_abs_diff,float64,weather_source_uncertainty,predictor,Absolute gap between NASA POWER and Open-Meteo for a weather predictor.
temp_max_c_source_abs_diff,float64,weather_source_uncertainty,predictor,Absolute gap between NASA POWER and Open-Meteo for a weather predictor.
temp_min_c_source_abs_diff,float64,weather_source_uncertainty,predictor,Absolute gap between NASA POWER and Open-Meteo for a weather predictor.
relative_humidity_pct_source_abs_diff,float64,weather_source_uncertainty,predictor,Absolute gap between NASA POWER and Open-Meteo for a weather predictor.
wind_speed_ms_source_abs_diff,float64,weather_source_uncertainty,predictor,Absolute gap between NASA POWER and Open-Meteo for a weather predictor.
surface_pressure_kpa_source_abs_diff,float64,weather_source_uncertainty,predictor,Absolute gap between NASA POWER and Open-Meteo for a weather predictor.
rainfall_lag_1d_mm,float64,forecasting_history_feature,predictor,Lagged or rolling rainfall feature computed using previous days only.
rainfall_lag_7d_mm,float64,forecasting_history_feature,predictor,Lagged or rolling rainfall feature computed using previous days only.
rainfall_lag_30d_mm,float64,forecasting_history_feature,predictor,Lagged or rolling rainfall feature computed using previous days only.
rainfall_rolling_7d_mean_prev_mm,float64,forecasting_history_feature,predictor,Lagged or rolling rainfall feature computed using previous days only.
rainfall_rolling_30d_sum_prev_mm,float64,forecasting_history_feature,predictor,Lagged or rolling rainfall feature computed using previous days only.
rainfall_rolling_90d_mean_prev_mm,float64,forecasting_history_feature,predictor,Lagged or rolling rainfall feature computed using previous days only.
wet_spell_days_prev,float64,forecasting_history_feature,predictor,Lagged or rolling rainfall feature computed using previous days only.
dry_spell_days_prev,float64,forecasting_history_feature,predictor,Lagged or rolling rainfall feature computed using previous days only.
was_wet_previous_day,float64,forecasting_history_feature,predictor,Lagged or rolling rainfall feature computed using previous days only.
rainfall_lag_1d_mm_was_imputed,int64,imputation_indicator,predictor_quality_flag,Binary indicator equal to 1 when the corresponding engineered history feature was imputed.
rainfall_lag_7d_mm_was_imputed,int64,imputation_indicator,predictor_quality_flag,Binary indicator equal to 1 when the corresponding engineered history feature was imputed.
rainfall_lag_30d_mm_was_imputed,int64,imputation_indicator,predictor_quality_flag,Binary indicator equal to 1 when the corresponding engineered history feature was imputed.
rainfall_rolling_7d_mean_prev_mm_was_imputed,int64,imputation_indicator,predictor_quality_flag,Binary indicator equal to 1 when the corresponding engineered history feature was imputed.
rainfall_rolling_30d_sum_prev_mm_was_imputed,int64,imputation_indicator,predictor_quality_flag,Binary indicator equal to 1 when the corresponding engineered history feature was imputed.
rainfall_rolling_90d_mean_prev_mm_was_imputed,int64,imputation_indicator,predictor_quality_flag,Binary indicator equal to 1 when the corresponding engineered history feature was imputed.
wet_spell_days_prev_was_imputed,int64,imputation_indicator,predictor_quality_flag,Binary indicator equal to 1 when the corresponding engineered history feature was imputed.
dry_spell_days_prev_was_imputed,int64,imputation_indicator,predictor_quality_flag,Binary indicator equal to 1 when the corresponding engineered history feature was imputed.
was_wet_previous_day_was_imputed,int64,imputation_indicator,predictor_quality_flag,Binary indicator equal to 1 when the corresponding engineered history feature was imputed.
